"path","size_bytes","extension","text_candidate","classification","reason"
"assets/icon.ico","21962",".ico","False","player-facing-candidate","Game UI, narrative, content, or visual asset directory."
"assets/icon.png","8185",".png","False","player-facing-candidate","Game UI, narrative, content, or visual asset directory."
"game/index.html","85408",".html","True","player-facing-candidate","Game UI, narrative, content, or visual asset directory."
"game/lowmoor-boot.js","1332",".js","True","player-facing-candidate","Game UI, narrative, content, or visual asset directory."
"game/lowmoor.css","84165",".css","True","player-facing-candidate","Game UI, narrative, content, or visual asset directory."
"game/lowmoor.js","2437133",".js","True","player-facing-candidate","Game UI, narrative, content, or visual asset directory."
"main.js","11652",".js","True","runtime-entry","Runtime entry; translate only user-visible strings and preserve APIs."
"package.json","249",".json","True","metadata","Packaging metadata; normally not translated."
"preload.js","5597",".js","True","runtime-entry","Runtime entry; translate only user-visible strings and preserve APIs."
"settings.js","2483",".js","True","runtime-entry","Runtime entry; translate only user-visible strings and preserve APIs."
"steam.js","8196",".js","True","runtime-entry","Runtime entry; translate only user-visible strings and preserve APIs."
"window.js","15095",".js","True","runtime-entry","Runtime entry; translate only user-visible strings and preserve APIs."
"zoom.js","6696",".js","True","runtime-entry","Runtime entry; translate only user-visible strings and preserve APIs."
