key	en	official_zh	revised_zh
charter.oath.text	Your skills have reached the far edge of the quarter of {quarter}, and the Guild lays an oath upon the counter for your hand: {oath}. {grants} {costs} One skill point pays for it, and the Guild allows one oath at a time. The surveyor keeping your charter will swear this one upon your behalf, as it takes your skills upon your behalf, unless you refuse it here.	你的技能已抵达{quarter}分区外缘，公会在柜台摆上一项誓言，等你落笔：{oath}。{grants}{costs}花费1技能点数，且同时只许一项誓言。代你管理宪章的勘测员会像代你取得技能一样，代你立下此誓；若不愿，须在这里拒绝。	你的技能已抵达{quarter}分区外缘，公会在柜台摆上一项誓言，等你落笔：{oath}。{grants}{costs}此誓须付1点技能点，公会同一时间只许立一项誓言。代你管理宪章的勘测员会像代你取得技能一样，代你立下此誓；若不愿，须在这里拒绝。
combat.techniqueSlip.again	{name}: {stats} No further cost.	{name}：{stats}无后续消耗。	{name}：{stats}不再额外消耗。
credits.farewell	May fortune attend the descent.	愿好运伴你深入地下。	愿好运伴你下行。
crit.presentation.rounds.world	The opening holds for {rounds} rounds.	破绽持续{rounds}轮。	开局之势持续{rounds}轮。
data.additional.assigned.a.coral.brooch.from.the.outer.reef.a.silver.pin.binds.a.branch	A silver pin binds a branch of red coral to an old captain's clasp. The clasp bears the port mark of a vessel entered as missing.	一枚银针把红珊瑚枝固定在旧船长的扣饰上。扣饰带着一艘登记失踪船只的港口标记。	一枚银针把红珊瑚枝固定在旧船长的扣饰上。扣饰上的港籍标记属于一艘已登记为失踪的船。
data.additional.assigned.arrival.a.grave.rook.settles.upon.the.village	{tag1}A grave-rook settles upon the village gate.{tag2} The sexton places its silver jess in your hand, in payment for your service to the Vale. The Guild enters the bird upon your Roll of Pets.	{tag1}一只墓地秃鼻乌鸦落在村门上。{tag2}守墓人将它的银脚绊放到你手中，酬谢你为山谷所做的事。公会把这只鸟记入你的宠物名录。	{tag1}一只墓地秃鼻乌鸦落在村门上。{tag2}守墓人将它的银脚绊放到你手中，酬谢你为谷地所做的事。公会把这只鸟记入你的宠物名册。
data.additional.assigned.blurb.a.guild.expedition.fails.to.return	A Guild expedition fails to return from the western islands. You follow its signal fires through an archipelago held by Admiral Marek Vane. Pilots wait in occupied lighthouses, charts lie aboard wrecks, and the survivors shelter beyond a channel that their ships cannot cross. Every harbour you liberate and every passage you survey opens another undertaking. You may name one objective for the Guild to pursue, or leave the whole rescue in its hands.	一支公会远征队前往西方岛屿，未能归来。你循着他们的信号火，穿过马雷克·韦恩海军上将占据的群岛。领航员困在被占灯塔中，海图留在沉船上，幸存者躲在船只无法通过的航道之外。每解放一座港口、勘测一条航道，便会打开新的行动。你可以指定一个目标让公会追寻，也可以将整个救援交托给公会。	一支公会远征队前往西方岛屿，未能归来。你循着他们的信号火，穿过马雷克·韦恩提督占据的群岛。领航员困在被占灯塔中，海图留在沉船上，幸存者躲在船只无法通过的航道之外。每解放一座港口、勘测一条航道，便会打开新的行动。你可以指定一个目标让公会追寻，也可以将整个救援交托给公会。
data.additional.assigned.premise.follow.a.lost.guild.expedition.through	Follow a lost Guild expedition through an occupied archipelago and bring its convoy home.	追踪失踪公会远征队，穿过被占群岛，将其船队带回家。	追寻一支失踪的公会远征队，穿过被占领的群岛，护送其船队归航。
data.additional.catalog.rider.1d4.a.round.while.the.wound	1d4 a round while the wound stays open, and it will not knit.	伤口每回合造成1d4伤害，且无法愈合。	伤口未闭时，每回合造成1d4伤害，且伤口不会愈合。
data.additional.catalog.rider.3d6.more.where.the.point.finds	3d6 more where the point finds the gap, upon every blow that lands.	每次剑尖命中空隙，额外造成3d6伤害。	每次命中，剑尖寻隙而入，额外造成3d6伤害。
